,Flight Name,Ticket Price,Flight timming,Airport to Airport,Time Take,Flight stops
0,Air India Express 560,"₹ 5,000",20:55 - 23:25(2h 30m),DEL → GOI,(2h 30m),Direct • 2h 30m
1,Vistara 855,"₹ 5,059",18:40 - 21:20(2h 40m),DEL → GOI,(2h 40m),Direct • 2h 40m
2,Air India Express 768,"₹ 5,400",14:50 - 17:20(2h 30m),DEL → GOI,(2h 30m),Direct • 2h 30m
3,Air India Express 769,"₹ 5,453",14:00 - 16:30(2h 30m),DEL → GOI,(2h 30m),Direct • 2h 30m
4,IndiGo 2028,"₹ 5,454",16:20 - 18:45(2h 25m),DEL → GOI,(2h 25m),Direct • 2h 25m
5,IndiGo 6576,"₹ 5,454",18:00 - 20:25(2h 25m),DEL → GOI,(2h 25m),Direct • 2h 25m
6,Air India Express 779,"₹ 5,453",04:30 - 07:05(2h 35m),DEL → GOI,(2h 35m),Direct • 2h 35m
7,IndiGo 6603,"₹ 5,454",19:25 - 21:55(2h 30m),DEL → GOI,(2h 30m),Direct • 2h 30m
8,IndiGo 6205,"₹ 5,454",12:20 - 14:50(2h 30m),DEL → GOI,(2h 30m),Direct • 2h 30m
9,Air India 885,"₹ 5,752",10:50 - 13:20(2h 30m),DEL → GOI,(2h 30m),Direct • 2h 30m
10,Vistara 847,"₹ 5,784",11:10 - 13:50(2h 40m),DEL → GOI,(2h 40m),Direct • 2h 40m
11,IndiGo 2277,"₹ 6,400",09:55 - 12:30(2h 35m),DEL → GOI,(2h 35m),Direct • 2h 35m
12,IndiGo 2329,"₹ 6,770",11:00 - 13:30(2h 30m),DEL → GOI,(2h 30m),Direct • 2h 30m
13, ,"₹ 7,159",14:50 - 17:20(2h 30m),DEL → GOI,(2h 30m),Direct • 2h 30m
14,IndiGo 2774,"₹ 5,893",09:00 - 11:20(2h 20m),DEL → GOI,(2h 20m),1 stop • 5h 00m
15,IndiGo 6282,"₹ 5,893",12:20 - 14:30(2h 10m),DEL → GOI,(2h 10m),1 stop • 5h 05m
16,IndiGo 2434,"₹ 5,893",11:30 - 14:20(2h 50m),DEL → GOI,(2h 50m),1 stop • 5h 15m
17,IndiGo 2009,"₹ 5,893",12:30 - 14:40(2h 10m),DEL → GOI,(2h 10m),1 stop • 5h 55m
18,IndiGo 308,"₹ 5,893",08:15 - 11:00(2h 45m),DEL → GOI,(2h 45m),1 stop • 5h 55m
19,IndiGo 6218,"₹ 5,893",06:00 - 07:55(1h 55m),DEL → GOI,(1h 55m),1 stop • 6h 35m
20,IndiGo 2065,"₹ 5,893",10:45 - 13:10(2h 25m),DEL → GOI,(2h 25m),1 stop • 6h 40m
21,IndiGo 5605,"₹ 6,536",18:30 - 20:45(2h 15m),DEL → GOI,(2h 15m),1 stop • 6h 10m
22,IndiGo 434,"₹ 6,536",12:30 - 15:20(2h 50m),DEL → GOI,(2h 50m),1 stop • 6h 50m
23,Vistara 801,"₹ 6,986",09:10 - 11:50(2h 40m),DEL → GOI,(2h 40m),1 stop • 4h 55m
24,IndiGo 6328,"₹ 8,060",10:00 - 12:15(2h 15m),DEL → GOI,(2h 15m),1 stop • 5h 20m
